source_genesymbol	target_genesymbol	source_uniprot	target_uniprot		database
LGALS9	PTPRC	O00182	P08575	Liana_v0.1.7
LGALS9	MET	O00182	P08581	Liana_v0.1.7;Cpdb_v4
LGALS9	CD44	O00182	P16070	Liana_v0.1.7;Cpdb_v4
LGALS9	LRP1	O00182	Q07954	Liana_v0.1.7;Cpdb_v4
LGALS9	CD47	O00182	Q08722	Liana_v0.1.7;Cpdb_v4
LGALS9	PTPRK	O00182	Q15262	Liana_v0.1.7;Cpdb_v4
LGALS9	COLEC12	O00182	Q5KU26	Liana_v0.1.7;Cpdb_v4
LGALS9	HAVCR2	O00182	Q8TDQ0	Liana_v0.1.7;Cpdb_v4
LGALS9	MRC2	O00182	Q9UBG0	Liana_v0.1.7;Cpdb_v4
DLL1	NOTCH1	O00548	P46531	Liana_v0.1.7;Cpdb_v4
DLL1	NOTCH2	O00548	Q04721	Liana_v0.1.7;Cpdb_v4
DLL1	NOTCH4	O00548	Q99466	Liana_v0.1.7;Cpdb_v4
DLL1	NOTCH3	O00548	Q9UM47	Liana_v0.1.7;Cpdb_v4
PODXL	SELL	O00592	P14151	Liana_v0.1.7
NRG2	COMPLEX:ERBB2_ERBB3	O14511	COMPLEX:P04626_P21860	Liana_v0.1.7
NRG2	COMPLEX:ERBB2_ERBB4	O14511	COMPLEX:P04626_Q15303	Liana_v0.1.7
ADGRB1	RTN4R	O14514	Q9BZR6	Liana_v0.1.7
ADAM10	TSPAN15	O14672	O95858	Liana_v0.1.7
ADAM10	TSPAN12	O14672	O95859	Liana_v0.1.7
ADAM10	MET	O14672	P08581	Liana_v0.1.7
ADAM10	IL6R	O14672	P08887	Liana_v0.1.7
ADAM10	CD44	O14672	P16070	Liana_v0.1.7
ADAM10	EPHA3	O14672	P29320	Liana_v0.1.7
ADAM10	AXL	O14672	P30530	Liana_v0.1.7
ADAM10	NOTCH1	O14672	P46531	Liana_v0.1.7
ADAM10	NOTCH2	O14672	Q04721	Liana_v0.1.7
ADAM10	NRCAM	O14672	Q92823	Liana_v0.1.7
ADAM10	TSPAN17	O14672	Q96FV3	Liana_v0.1.7
ADAM10	TSPAN10	O14672	Q9H1Z9	Liana_v0.1.7
ADAM10	TREM2	O14672	Q9NZC2	Liana_v0.1.7
TNFSF11	TNFRSF11B	O14788	O00300	Liana_v0.1.7
TNFSF11	LGR4	O14788	Q9BXB1	Liana_v0.1.7
TNFSF11	TNFRSF11A	O14788	Q9Y6Q6	Liana_v0.1.7
EREG	COMPLEX:EGFR_ERBB2	O14944	COMPLEX:P00533_P04626	Liana_v0.1.7
EREG	COMPLEX:ERBB2_ERBB4	O14944	COMPLEX:P04626_Q15303	Liana_v0.1.7
EREG	ERBB3	O14944	P21860	Liana_v0.1.7
ADAM12	ITGB1	O43184	P05556	Liana_v0.1.7
ADAM12	ITGA9	O43184	Q13797	Liana_v0.1.7
TNFSF12	TNFRSF8	O43508	P28908	Liana_v0.1.7
TNFSF12	CD163	O43508	Q86VB7	Liana_v0.1.7
TNFSF12	TNFRSF25	O43508	Q93038	Liana_v0.1.7;Cpdb_v4
TNFSF12	TNFRSF12A	O43508	Q9NP84	Liana_v0.1.7;Cpdb_v4
TNFSF14	TNFRSF6B	O43557	O95407	Liana_v0.1.7
TNFSF14	LTBR	O43557	P36941	Liana_v0.1.7;Cpdb_v4
TNFSF14	TNFRSF14	O43557	Q92956	Liana_v0.1.7;Cpdb_v4
ADAM23	ITGB3	O75077	P05106	Liana_v0.1.7
ADAM23	ITGA5	O75077	P08648	Liana_v0.1.7
ADAM23	ITGA4	O75077	P13612	Liana_v0.1.7
ADAM11	ITGA4	O75078	P13612	Liana_v0.1.7
ICOSLG	CD28	O75144	P10747	Liana_v0.1.7
ICOSLG	CTLA4	O75144	P16410	Liana_v0.1.7
ICOSLG	ICOS	O75144	Q9Y6W8	Liana_v0.1.7;Cpdb_v4
SEMA7A	COMPLEX:ITGA1_ITGB1	O75326	COMPLEX:P05556_P56199	Liana_v0.1.7
SEMA7A	PLXNC1	O75326	O60486	Liana_v0.1.7;Cpdb_v4
TNFSF13	TNFRSF11B	O75888	O00300	Liana_v0.1.7
TNFSF13	TNFRSF13B	O75888	O14836	Liana_v0.1.7;Cpdb_v4
TNFSF13	TNFRSF1A	O75888	P19438	Liana_v0.1.7;Cpdb_v4
TNFSF13	FAS	O75888	P25445	Liana_v0.1.7;Cpdb_v4
TNFSF13	SDC2	O75888	P34741	Liana_v0.1.7
TNFSF13	TNFRSF17	O75888	Q02223	Liana_v0.1.7;Cpdb_v4
TNFSF13	TNFRSF14	O75888	Q92956	Liana_v0.1.7;Cpdb_v4
NFASC	COMPLEX:CNTN1_CNTNAP1	O94856	COMPLEX:P78357_Q12860	Liana_v0.1.7
SLITRK3	PTPRD	O94933	P23468	Liana_v0.1.7
SLITRK3	PTPRS	O94933	Q13332	Liana_v0.1.7
SLITRK5	PTPRD	O94991	P23468	Liana_v0.1.7
TNFSF15	TNFRSF6B	O95150	O95407	Liana_v0.1.7
TNFSF15	TNFRSF25	O95150	Q93038	Liana_v0.1.7;Cpdb_v4
TGFA	COMPLEX:EGFR_ERBB2	P01135	COMPLEX:P00533_P04626	Liana_v0.1.7
TGFA	ERBB3	P01135	P21860	Liana_v0.1.7
TGFA	ERBB4	P01135	Q15303	Liana_v0.1.7
TNF	FFAR2	P01375	O15552	Liana_v0.1.7;Cpdb_v4
TNF	TNFRSF21	P01375	O75509	Liana_v0.1.7
TNF	TNFRSF1A	P01375	P19438	Liana_v0.1.7;Cpdb_v4
TNF	TNFRSF1B	P01375	P20333	Liana_v0.1.7;Cpdb_v4
TNF	FAS	P01375	P25445	Liana_v0.1.7;Cpdb_v4
TNF	FLT4	P01375	P35916	Liana_v0.1.7;Cpdb_v4
TNF	NOTCH1	P01375	P46531	Liana_v0.1.7;Cpdb_v4
TNF	PTPRS	P01375	Q13332	Liana_v0.1.7;Cpdb_v4
TNF	SEMA4C	P01375	Q9C0C4	Liana_v0.1.7;Cpdb_v4
TNF	VSIR	P01375	Q9H7M9	Liana_v0.1.7;Cpdb_v4
TNF	CELSR2	P01375	Q9HCU4	Liana_v0.1.7;Cpdb_v4
TNF	ICOS	P01375	Q9Y6W8	Liana_v0.1.7;Cpdb_v4
HLA-B	CD8B2	P01889	A6NJW9	Liana_v0.1.7
HLA-B	LILRA1	P01889	O75019	Liana_v0.1.7
HLA-B	CD8A	P01889	P01732	Liana_v0.1.7
HLA-B	CD3D	P01889	P04234	Liana_v0.1.7
HLA-B	CD3G	P01889	P09693	Liana_v0.1.7
HLA-B	CD8B	P01889	P10966	Liana_v0.1.7
HLA-B	KIR2DL3	P01889	P43628	Liana_v0.1.7
HLA-B	KIR3DL1	P01889	P43629	Liana_v0.1.7
HLA-B	KIR3DL2	P01889	P43630	Liana_v0.1.7
HLA-B	KLRD1	P01889	Q13241	Liana_v0.1.7
HLA-B	LILRB2	P01889	Q8N423	Liana_v0.1.7
HLA-B	LILRB1	P01889	Q8NHL6	Liana_v0.1.7
HLA-DRA	CD4	P01903	P01730	Liana_v0.1.7
HLA-DRA	LAG3	P01903	P18627	Liana_v0.1.7
HLA-DQA2	CD4	P01906	P01730	Liana_v0.1.7
HLA-DQA2	LAG3	P01906	P18627	Liana_v0.1.7
HLA-DQA1	CD4	P01909	P01730	Liana_v0.1.7
HLA-DQA1	LAG3	P01909	P18627	Liana_v0.1.7
HLA-DRB1	CD4	P01911	P01730	Liana_v0.1.7
HLA-DRB1	LAG3	P01911	P18627	Liana_v0.1.7
HLA-DQB1	CD4	P01920	P01730	Liana_v0.1.7
HLA-DQB1	LAG3	P01920	P18627	Liana_v0.1.7
ANXA1	COMPLEX:FPR2_FPR3	P04083	COMPLEX:P25089_P25090	Liana_v0.1.7
ANXA1	EGFR	P04083	P00533	Liana_v0.1.7
ANXA1	ADRA2A	P04083	P08913	Liana_v0.1.7
ANXA1	FPR1	P04083	P21462	Liana_v0.1.7;Cpdb_v4
ANXA1	MTNR1A	P04083	P48039	Liana_v0.1.7
ANXA1	GRM7	P04083	Q14831	Liana_v0.1.7
THY1	COMPLEX:ITGAV_ITGB3	P04216	COMPLEX:P05106_P06756	Liana_v0.1.7
THY1	COMPLEX:ITGAM_ITGB2	P04216	COMPLEX:P05107_P11215	Liana_v0.1.7
